Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
25-34,Female,Bachelor's Degree,Employed Part-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
35-44,Female,Master's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat comfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Master's Degree,Employed Full-Time,Daily,A lot,Extremely adequate,Strongly agree,Somewhat agree,Somewhat disagree,Extremely comfortable,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
35-44,Female,Master's Degree,Student,Daily,A great deal,Extremely inadequate,Strongly agree,Strongly disagree,Strongly agree,Extremely uncomfortable,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
35-44,Female,Master's Degree,Student,Daily,None at all,Extremely inadequate,Strongly disagree,Somewhat disagree,Somewhat agree,Extremely uncomfortable,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
25-34,Male,Master's Degree,Student,Daily,A moderate amount,Somewhat adequate,Strongly agree,Strongly disagree,Strongly agree,Somewhat comfortable,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree
45-54,Male,Doctorate or higher,Employed Part-Time,Daily,A lot,Neither adequate nor inadequate,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
25-34,Male,Bachelor's Degree,Employed Part-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat uncomfortable,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Weekly,A lot,Somewhat inadequate,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
25-34,Female,Master's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat comfortable,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat comfortable,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
35-44,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
35-44,Male,Master's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
35-44,Male,Master's Degree,Employed Full-Time,Weekly,A moderate amount,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither comfortable nor uncomfortable,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree
25-34,Male,Master's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Part-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
35-44,Male,Master's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Weekly,A lot,Somewhat inadequate,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither comfortable nor uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A lot,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree
25-34,Male,Bachelor's Degree,Employed Full-Time,Daily,A little,Somewhat inadequate,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A little,Neither adequate nor inadequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree
25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat inadequate,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat uncomfortable,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree
